MUNICIPIO,FUNDACIÓN,DIRECCIÓN,TELÉFONO,COMANDANTE,CELULAR,E-MAIL
ALCALÁ,AGOSTO 7 DE 1948,CALLE 6 BIS No. 8-80,2004115 - 2004612,SUB TT. MARIA GUADALUPE HERNANDEZ ALVAREZ,3113386615 - 3117490698,bomberosalcala@hotmail.com
ANDALUCIA,NOVIEMBRE 27 DE 1.966,CRA. 3 No. 12-87,2235250 - 2263637,CT. ALVARO ERNESTO FAJARDO HERNÁNDEZ,3217518889,bomberos_andalucia@hotmail.com
ANSERMANUEVO,JULIO 19 DE 1.955,CRA-3 N - 7-40,2052179,SUB TT. CESAR OROZCO RODRIGUEZ,3158231406 - 3148583278 - 3147766124,bomberosansermanuevo@gmail.com
ARGELIA,FEBRERO 4 DE 1.966,CLL 2 ,2068123,SGT. JORGE IVAN FLOREZ,3146346045,bomberosargeliavalle@hotmail.com
BOLÍVAR,JULIO 26 DE 1.972,CRA. 2 No. 4-30,2224045,TTE. FABIAN BARONA GONZÁLEZ,3136095510 - 3127969118,bolivar24b1@hotmail.com
BORRERO AYERBE,NOVIEMBRE 11 DE 1.970,CORRG BORRERO AYERBE km 30,NULL,CT. JUAN CARLOS GONZALEZ MACA,3174231887,bomberosborreroayerbe@gmail.com
BUENAVENTURA,SEPTIEMBRE 12 DE 1.937,CRA. 6 No. 4 A-39,2424000 - 2422222 - 2422223,CT. JESUS ARMANDO GONGORA,3165641852 - 3154194608 - 3163834158,bomberosfinanciero@hotmail.com
BUGALAGRANDE,MARZO 24 DE 1.961,CRA. 3 CALLE 3 ESQ,2236341 - 2236122 - 2265687,CT. JOSE YEIGH MONSALVE HENAO,3167426758 - 3174674871,cbvbgd@gmail.com
CAICEDONIA,JUNIO 13 DE 1.954,CALLE 11 No. 14-26,2161333,CT. BERTHA ELENA RODRÍGUEZ NIETO,3116217650,bcv54@hotmail.com
CALI,JULIO 20 DE 1.928,AV. 3 No. 20N-54,6680179,CT. RUBEN DARIO GAMBOA FAJARDO,3176568960,comandante@bomberoscali.org
