Descripción,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
TOTAL CALI,2119909,2144971,2169836,2194753,2219714,2244639,2269630,2294643,2319655,2344703,2369829,2394870,2420013,2445281,2470747,2496346
Total Cabecera,2083171,2108257,2133143,2158078,2183055,2207994,2232996,2258017,2283035,2308086,2333213,2358253,2383392,2408653,2434110,2459698
Comuna 1,63148,64703,67159,69674,72172,74729,77348,80028,82768,85569,88432,91352,94335,97382,100497,103620
Comuna 2,99808,100695,101395,102099,103781,105499,107256,109050,110879,112746,114651,116586,118561,120577,122637,124669
Comuna 3,45129,45358,45502,45646,45743,45843,45949,46057,46169,46283,46400,46517,46636,46759,46887,46990
Comuna 4,57160,56307,56008,55711,55358,55012,54673,54339,54011,53687,53369,53052,52740,52433,52132,51806
Comuna 5,101976,103282,104379,105464,106425,107379,108332,109280,110221,111157,112089,113010,113927,114842,115759,116608
Comuna 6,171258,173623,175635,177624,179401,181165,182922,184668,186402,188124,189837,191529,193214,194894,196573,198137
Comuna 7,75752,75861,75415,74967,74438,73913,73393,72876,72360,71846,71334,70819,70305,69793,69285,68739
Comuna 8,100059,100519,100788,101060,101226,101400,101585,101777,101974,102177,102388,102597,102812,103034,103266,103445
Comuna 9,49415,48482,48059,47646,47243,46848,46462,46083,45712,45349,44994,44645,44303,43970,43646,43330
Comuna 10,105884,106672,107225,107775,108206,108639,109078,109520,109962,110407,110854,111296,111741,112190,112645,113040
Comuna 11,100595,101650,102375,103094,103698,104302,104910,105518,106125,106731,107339,107940,108542,109146,109754,110302
Comuna 12,68099,68363,68245,68127,67937,67751,67571,67394,67221,67049,66881,66712,66545,66381,66221,66028
Comuna 13,173129,173972,174486,175004,175339,175688,176056,176437,176827,177228,177641,178052,178475,178909,179360,181084
Comuna 14,156695,157792,158592,159399,161427,163405,165342,167237,169091,170909,172696,174441,176160,177856,179535,181093
Comuna 15,127748,130153,133653,137111,140379,143612,146818,149995,153144,156267,159369,162439,165492,168529,171556,174473
Comuna 16,96502,97456,98658,99847,100915,101974,103028,104075,105113,106145,107170,108183,109191,110195,111198,112135
Comuna 17,106735,110989,114197,117424,120540,123676,126835,130014,133211,136428,139665,142914,146183,149475,152793,156046
Comuna 18,97811,99799,103200,106652,110038,113474,116966,120510,124105,127752,131453,135199,138999,142856,146773,150663
Comuna 19,102199,104088,105169,106244,107200,108156,109115,110074,111032,111989,112947,113898,114849,115803,116761,117656
Comuna 20,65868,66237,66481,66899,67242,67587,67934,68283,68631,68980,69331,69677,70025,70375,70728,71043
Comuna 21,88329,90806,93764,96563,99117,101550,103879,106113,108261,110332,112336,114270,116148,117976,119763,121440
Comuna 22,8276,8575,8863,9153,9435,9718,10003,10290,10578,10868,11160,11453,11748,12044,12343,12637
Otros,21594,22873,23896,24895,25794,26677,27545,28399,29238,30064,30876,31675,32461,33236,34002,34714
Total Corregimientos,36738,36714,36693,36675,36659,36645,36634,36626,36620,36617,36616,36617,36621,36628,36637,36648
Navarro,1203,1171,1139,1108,1078,1048,1018,990,961,933,906,879,853,828,803,778
El Hormiguero,3962,3952,3940,3928,3914,3899,3884,3867,3849,3830,3811,3790,3768,3746,3722,3698
Pance,1876,1833,1791,1749,1707,1666,1626,1586,1547,1508,1470,1432,1395,1359,1323,1287
La Buitrera,4977,5143,5312,5486,5664,5846,6032,6222,6417,6615,6818,7025,7237,7452,7672,7896
Villacarmelo,960,952,943,934,925,916,907,898,888,878,869,859,849,838,828,818
Los Andes,4173,4222,4271,4319,4366,4412,4458,4503,4547,4591,4633,4674,4715,4754,4793,4830
Pichinde,781,767,753,740,726,713,699,686,672,659,646,632,619,606,593,581
La Leonera,761,733,705,678,653,628,603,580,557,535,514,493,473,454,436,418
Felidia,1727,1687,1647,1607,1568,1530,1492,1455,1418,1381,1346,1311,1276,1242,1208,1175
El Saladito,1280,1238,1197,1157,1118,1080,1043,1007,972,938,904,872,841,810,781,752
La Elvira,1262,1240,1219,1197,1175,1154,1132,1111,1090,1069,1048,1027,1006,985,965,945
La Castilla,961,956,952,947,941,936,930,924,918,912,905,898,891,884,876,869
La Paz,812,789,767,745,724,703,683,663,643,624,605,586,568,551,533,516
Montebello,9048,9058,9066,9071,9074,9074,9072,9067,9059,9049,9037,9021,9003,8983,8961,8935
Golondrinas,2955,2973,2991,3008,3025,3040,3055,3069,3082,3094,3106,3117,3126,3135,3143,3151
